127.0.0.1, 2020-06-16 21:11:22, GET, /admin/static/_2.20.4/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.001999
127.0.0.1, 2020-06-16 21:11:22, GET, /admin/static/_2.20.4/codemirror/emmet.min.js, HTTP/1.1, 200, 0.001999
127.0.0.1, 2020-06-16 21:11:22, GET, /admin/static/_2.20.4/js/ajax_editor.js, HTTP/1.1, 200, 0.002999
127.0.0.1, 2020-06-16 21:11:22, GET, /admin/static/_2.20.4/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.001999

127.0.0.1, 2020-06-16 21:11:22, GET, /admin/static/_2.20.4/js/typeahead.min.js, HTTP/1.1, 200, 0.001999
127.0.0.1, 2020-06-16 21:11:22, GET, /admin/static/_2.20.4/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.001998
127.0.0.1, 2020-06-16 21:11:22, GET, /admin/static/_2.20.4/images/files_toggle.png, HTTP/1.1, 200, 0.001998
127.0.0.1, 2020-06-16 21:11:23, GET, /admin/default/edit/LDS/controllers/appadmin.py, HTTP/1.1, 200, 0.036979
127.0.0.1, 2020-06-16 21:11:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2020-06-16 21:11:23, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.211867
127.0.0.1, 2020-06-16 21:11:23, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.247845
127.0.0.1, 2020-06-16 21:11:23, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.293817
127.0.0.1, 2020-06-16 21:11:23, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.260836
127.0.0.1, 2020-06-16 21:11:23, GET, /admin/static/_2.20.4/images/save_icon.png, HTTP/1.1, 200, 0.001999
127.0.0.1, 2020-06-16 21:11:24, GET, /LDS/appadmin/hooks, HTTP/1.1, 200, 1.384239
127.0.0.1, 2020-06-16 21:11:32, GET, /admin/default/design/LDS, HTTP/1.1, 200, 0.116928
127.0.0.1, 2020-06-16 21:11:32, GET, /admin/static/_2.20.4/images/search.png, HTTP/1.1, 200, 0.002001
127.0.0.1, 2020-06-16 21:11:32, GET, /admin/static/_2.20.4/images/help.png, HTTP/1.1, 200, 0.001997
127.0.0.1, 2020-06-16 21:11:32, GET, /admin/static/_2.20.4/images/delete_icon.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2020-06-16 21:11:32, GET, /admin/static/_2.20.4/images/test_icon.png, HTTP/1.1, 200, 0.000999
127.0.0.1, 2020-06-16 21:11:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000997
127.0.0.1, 2020-06-16 21:12:10, GET, /LDS/default/index, HTTP/1.1, 200, 0.278825
127.0.0.1, 2020-06-16 21:12:11, GET, /LDS/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.003997
127.0.0.1, 2020-06-16 21:12:11, GET, /LDS/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.003996
127.0.0.1, 2020-06-16 21:12:11, GET, /LDS/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.007995
127.0.0.1, 2020-06-16 21:12:11, GET, /LDS/static/js/jquery.js, HTTP/1.1, 200, 0.003997
127.0.0.1, 2020-06-16 21:12:11, GET, /LDS/static/js/calendar.js, HTTP/1.1, 200, 0.001998
127.0.0.1, 2020-06-16 21:12:11, GET, /LDS/static/css/calendar.css, HTTP/1.1, 200, 0.003997
127.0.0.1, 2020-06-16 21:12:11, GET, /LDS/static/js/web2py.js, HTTP/1.1, 200, 0.007996
127.0.0.1, 2020-06-16 21:12:11, GET, /LDS/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.002997
127.0.0.1, 2020-06-16 21:12:11, GET, /LDS/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.006995
127.0.0.1, 2020-06-16 21:12:11, GET, /LDS/static/images/background.jpg, HTTP/1.1, 404, 0.000999
127.0.0.1, 2020-06-16 21:12:11, GET, /LDS/static/images/favicon.ico, HTTP/1.1, 200, 0.000999
127.0.0.1, 2020-06-16 21:12:14, GET, /admin/default/design/LDS, HTTP/1.1, 200, 0.100937
127.0.0.1, 2020-06-16 21:12:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000999
127.0.0.1, 2020-06-16 21:13:03, GET, /admin/default/edit/LDS/controllers/default.py, HTTP/1.1, 200, 0.048970
127.0.0.1, 2020-06-16 21:13:04, GET, /admin/default/edit/LDS/controllers/default.py, HTTP/1.1, 200, 0.037977
127.0.0.1, 2020-06-16 21:13:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2020-06-16 21:13:04, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.252844
127.0.0.1, 2020-06-16 21:13:04, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.283825
127.0.0.1, 2020-06-16 21:13:04, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.178890
127.0.0.1, 2020-06-16 21:13:04, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.296815
127.0.0.1, 2020-06-16 21:13:06, GET, /LDS/appadmin/hooks, HTTP/1.1, 200, 1.690953
127.0.0.1, 2020-06-16 21:14:04, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.172892
127.0.0.1, 2020-06-16 21:14:06, GET, /LDS/appadmin/hooks, HTTP/1.1, 200, 1.445113
127.0.0.1, 2020-06-16 21:15:04, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.154954
127.0.0.1, 2020-06-16 21:15:06, GET, /LDS/appadmin/hooks, HTTP/1.1, 200, 1.461145
127.0.0.1, 2020-06-16 21:16:04, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.151906
127.0.0.1, 2020-06-16 21:16:05, GET, /LDS/appadmin/hooks, HTTP/1.1, 200, 1.369153
127.0.0.1, 2020-06-16 21:17:04, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.149908
127.0.0.1, 2020-06-16 21:17:06, GET, /LDS/appadmin/hooks, HTTP/1.1, 200, 1.404506
127.0.0.1, 2020-06-16 21:18:04, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.152907
127.0.0.1, 2020-06-16 21:18:06, GET, /LDS/appadmin/hooks, HTTP/1.1, 200, 1.422122
127.0.0.1, 2020-06-16 21:19:04, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.157899
127.0.0.1, 2020-06-16 21:19:06, GET, /LDS/appadmin/hooks, HTTP/1.1, 200, 1.460632
127.0.0.1, 2020-06-16 21:19:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2020-06-16 21:20:04, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.213866
127.0.0.1, 2020-06-16 21:20:06, GET, /LDS/appadmin/hooks, HTTP/1.1, 200, 1.461142
127.0.0.1, 2020-06-16 21:21:04, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.196878
127.0.0.1, 2020-06-16 21:21:06, GET, /LDS/appadmin/hooks, HTTP/1.1, 200, 1.430166
127.0.0.1, 2020-06-16 21:22:04, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.290819
127.0.0.1, 2020-06-16 21:22:06, GET, /LDS/appadmin/hooks, HTTP/1.1, 200, 2.141675
127.0.0.1, 2020-06-16 21:23:04, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.212973
127.0.0.1, 2020-06-16 21:23:06, GET, /LDS/appadmin/hooks, HTTP/1.1, 200, 1.551137
127.0.0.1, 2020-06-16 21:24:04, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.195876
127.0.0.1, 2020-06-16 21:24:05, GET, /LDS/appadmin/hooks, HTTP/1.1, 200, 1.382145
127.0.0.1, 2020-06-16 21:25:04, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.234854
127.0.0.1, 2020-06-16 21:25:06, GET, /LDS/appadmin/hooks, HTTP/1.1, 200, 1.595014
127.0.0.1, 2020-06-16 21:26:04, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.220866
127.0.0.1, 2020-06-16 21:26:06, GET, /LDS/appadmin/hooks, HTTP/1.1, 200, 1.461099
